,store,sido,gungu,store_address
532,둔산2점,대전광역시,서구,대전광역시 서구 둔산3동 1972번지
533,둔전점,경기도,용인시,경기도 용인시처인구 금어로 2(유방동)
534,등촌제일점,서울특별시,강서구,서울특별시 강서구 등촌1동 641-12
535,뚝섬점,서울특별시,광진구,서울특별시 광진구 능동로3가길 4(자양동)
536,레이크타운점,경기도,안산시,경기도 안산시단원구 광덕동로25 상가동101호
537,마도점,경기도,화성시,경기도 화성시 마도면 석교로 171
538,마석점,경기도,남양주시,"경기도 남양주시 화도읍 비룡로 185-20, 210(삼진상가2층)"
539,마송점,경기도,김포시,경기도 김포시 통진읍 조강로 49
540,마장동점,서울특별시,성동구,"서울특별시 성동구 청계천로10나길 80, 1층(마장동)"
541,마전점,충청남도,금산군,충청남도 금산군 추부면 마전리 571-1
542,마천1점,서울특별시,송파구,서울특별시 송파구 마천로61길 9(마천동)
543,마평리점,경기도,용인시,경기도 용인시처인구 금령로 129(마평동)
544,만년점,대전광역시,서구,대전광역시 서구 만년로16번길 27(만년동)
545,만수1점,인천광역시,남동구,인천광역시 남동구 만수서로 97-17(만수동 1층)
546,만수3점,인천광역시,남동구,인천광역시 남동구 만수동 861 1층
547,만수삼환점,인천광역시,남동구,인천광역시 남동구 소래로669번길 106호
548,만수주공점,인천광역시,남동구,인천광역시 남동구 장승남로34번길 22 상가 111호
549,만촌점,대구광역시,수성구,대구광역시 수성구 만촌동 963-4
550,만평점,대구광역시,서구,대구광역시 서구 비산동 1285-2
551,망상점,강원도,동해시,"강원도 동해시 동해대로 6270-18(망상동, 상가116)"
552,망우동점,서울특별시,중랑구,서울특별시 중랑구 망우3동 444-26
553,망원동점,서울특별시,마포구,서울특별시 마포구 망원2동 475-42
554,매산점,경기도,수원시,경기도 수원시팔달구 갓매산로26번길 24
555,매송점,경기도,화성시,경기도 화성시 매송면 원평리 124-18
556,매탄점,경기도,수원시,경기도 수원시영통구 매탄2동 130-10
557,매화동점,경기도,시흥시,경기도 시흥시 매화1로 21
558,명곡점,대구광역시,달성군,대구광역시 달성군 화원읍 설화리 779-1
559,명보점,충청북도,제천시,충청북도 제천시 용두천로 112(남천동)
560,명일점,서울특별시,강동구,서울특별시 강동구 동남로67길 44(명일동)
561,명지점,부산광역시,강서구,부산광역시 강서구 명지오션시티10 16 
562,모가점,경기도,이천시,경기도 이천시 모가면 진상미로 1257(성광주택)
563,모라점,부산광역시,사상구,부산광역시 사상구 모라로46번길 70(모라동)
564,모란점,경기도,성남시,"경기도 성남시중원구 제일로35번길 31, 1층(성남동)"
565,모산점,충청남도,아산시,충청남도 아산시 배방면 공수리 63-24
566,모슬포점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 상모대서로 25
567,모현점,경기도,용인시,경기도 용인시처인구 모현면 외대로 36
568,목감점,경기도,시흥시,경기도 시흥시 동서로 1095
569,목동1점,서울특별시,양천구,서울특별시 양천구 목4동 772-12
570,목동3점,서울특별시,양천구,"서울특별시 양천구 목동동로 50 A-111(신정동, 목동아파트)"
571,목동시장점,서울특별시,양천구,서울특별시 양천구 목동중앙남로10 7
572,목상석봉점,대전광역시,대덕구,"대전광역시 대덕구 대덕대로1454 11-6(목상동,1층)"
573,목행점,충청북도,충주시,충청북도 충주시 행정10길 10(목행동)
574,무거1점,울산광역시,남구,울산광역시 남구 신복로23번길 15(무거동)
575,무실점,강원도,원주시,강원도 원주시 시청로 88(무실동)
576,무원삼보점,경기도,고양시,경기도 고양시덕양구 화신로 31 무원마을 삼보상가 102
577,무주리조트,전라북도,무주군,전라북도 무주군 설천면 만선로 185(한솔동 1층)
578,무주점,전라북도,무주군,전라북도 무주군 무주읍 읍내리 249-6
579,무지개점,경기도,성남시,"경기도 성남시분당구 구미동 211, 무지개마을 106"
580,묵동점,서울특별시,중랑구,"서울특별시 중랑구 중랑역로 150, 108호(묵동,우성상가)"
581,묵호점,강원도,동해시,"강원도 동해시 발한로 137(발한동, 가동)"
582,문경점,경상북도,문경시,경상북도 문경시 문경읍 주흘로 29
583,문덕점,경상북도,포항시,경상북도 포항시남구 오천읍 문덕리 203-3 청호A상가101
584,문막점,강원도,원주시,강원도 원주시 문막읍 문막시장1길 55-2
585,문산점,경기도,파주시,경기도 파주시 문산읍 문항로 82
586,문정점,서울특별시,송파구,"서울특별시 송파구 송이로33길 6-17(문정동, 지상1층)"
587,문촌점,경기도,고양시,경기도 고양시일산서구 대산로 183
588,문학점,인천광역시,남구,"인천광역시 남구 승학길 4(문학동, 101호)"
589,문화동점,충청북도,충주시,충청북도 충주시 사직산1길 15-11(문화동)
590,문화점,대전광역시,중구,대전광역시 중구 문화동 788 상가 107호
591,미금점,경기도,성남시,경기도 성남시분당구 미금일로 55 상가동108호
592,미룡산북점,전라북도,군산시,전라북도 군산시 부곡로 125(미룡동)
593,미아점,서울특별시,강북구,서울특별시 강북구 도봉로29길 10 1층
594,미원점,충청북도,청원군,충청북도 청원군 미원면 미원시내2길 19-3
595,민락점,경기도,의정부시,경기도 의정부시 오목로 99
596,밀양댐점,경상남도,밀양시,경상남도 밀양시 단장면 고례리 1521-3
597,박달2점,경기도,안양시,경기도 안양시만안구 박달동 134-5
598,반구점,울산광역시,중구,울산광역시 중구 반구동 101-8
599,반달마을점,경기도,부천시,"경기도 부천시원미구 상동 397, 반달상가1층"
600,반송2점,부산광역시,해운대구,부산광역시 해운대구 반송동 62-340
601,반여점,부산광역시,해운대구,부산광역시 해운대구 선수촌로 207번가길 67
602,반월점,전라북도,전주시,전라북도 전주시덕진구 반월동 1229 반월주공아파트상가 104호
603,반포동점,서울특별시,서초구,서울특별시 서초구 반포1동 717-10 101
604,발산동점,서울특별시,강서구,서울특별시 강서구 우장산로 9(내발산동)
605,발안1점,경기도,화성시,경기도 화성시 향남읍 장짐리 216-4 대준빌딩1층
606,방배본점,서울특별시,서초구,서울특별시 서초구 동광로11길 25. 1층(방배동)
607,방어진점,울산광역시,동구,울산광역시 동구 방어동 문현지구 70B10N
